PLAYER,POS,TEAM,GAME,FP,DK,FD,PROJ,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP
Giannis Antetokounmpo,PF,MIL,ATL@MIL,56.6,62.2,57.6,1,31.6,36,12.2,20.4,7.4,12.2,10.1,2.2,1.2,1.1,4.2,6.7,0.64,0.6
Karl-Anthony Towns,C,NY,POR@NY,48.8,54.9,49.7,1,29.2,34,10.5,21,4.8,11.7,9,2.7,0.6,1,3.3,5.8,0.83,0.5
Trae Young,PG,ATL,ATL@MIL,45.1,46.3,42.4,1,23.8,36,7.4,18.4,10.3,3.4,2.9,0.6,0.1,1.2,3.9,6.3,0.88,0.4
Miles Bridges,PF,CHA,CHA@NO,43.6,49,45.5,1,26.5,34,9.7,22.3,5,8.4,7.2,1.3,0.9,1.3,3.5,4.3,0.85,0.43
Cade Cunningham,PG,DET,DET@MIN,43.3,46.2,42.3,1,24.2,36,9.2,19.9,8.6,5.1,4.6,0.6,0.7,1,4.8,3.8,0.86,0.46
Devin Booker,SG,PHO,HOU@PHO,41.6,43.4,40.6,1,25.8,37,8.8,19,6.7,4,3.3,0.7,0.3,0.9,2.7,5.6,0.89,0.46
Kevin Durant,SF,PHO,HOU@PHO,40.4,44.5,41.8,1,26.2,37,9.2,17.7,4.6,6.1,5.8,0.4,1.1,0.8,2.9,5.1,0.87,0.52
Stephen Curry,PG,GS,GS@SA,39.4,42.7,39.6,1,24.9,33,8.1,17.6,5.6,4.2,3.8,0.5,0.4,1.1,2.4,4.5,0.92,0.46
Scottie Barnes,SF,TOR,TOR@PHI,38.7,43.4,40.8,1,19.2,34,7.3,15.4,5.9,8.9,6.8,2.1,1.1,1.4,3.7,3.5,0.77,0.47
Josh Hart,SG,NY,POR@NY,38.4,41.4,38.3,1,14.9,36,5.7,11.5,7.3,9.3,7.4,1.9,0.4,1.4,2.3,2.3,0.76,0.5
Jimmy Butler,SF,GS,GS@SA,36.6,38.7,37.8,1,19.2,33,6.2,12.5,5.6,5.7,3.5,2.2,0.5,1.5,1.5,6.2,0.84,0.5
Anthony Edwards,SG,MIN,DET@MIN,36.5,40.6,37.8,1,24.2,36,8.1,18.1,4.2,5.1,4.4,0.6,0.5,1.3,3,4.8,0.83,0.45
Alperen Sengun,C,HOU,HOU@PHO,36,39.9,37.4,1,18.4,33,7.2,14.7,4.5,8.9,5.9,3,0.8,1,2.2,3.7,0.69,0.49
RJ Barrett,SF,TOR,TOR@PHI,35.7,39,35.5,1,21.5,33,8,17.1,4.9,6.9,5.9,1,0.3,0.8,3.7,3.7,0.68,0.47
Mikal Bridges,SF,NY,POR@NY,34.5,36.8,35.3,1,21.2,37,8.2,17.3,4.8,4,3.1,0.9,0.4,1.1,1.8,2.5,0.84,0.47
Kelly Olynyk,C,NO,CHA@NO,34.2,39.1,37,1,17.8,28,6.1,12.4,5.1,7.4,5.9,1.5,0.7,1.9,3.7,3.7,0.81,0.49
Julius Randle,PF,MIN,DET@MIN,33.3,36.6,33,1,19,33,6.6,13.9,4.6,7.1,5.5,1.6,0.3,0.7,3,4.2,0.78,0.47
Jared Butler,PG,PHI,TOR@PHI,33,35.1,33.7,1,16.4,32,6.1,13.5,6.7,3.8,3.3,0.5,0.4,1.7,2.7,2,0.81,0.45
OG Anunoby,SF,NY,POR@NY,32.4,36.7,35.4,1,20.8,36,7.6,16.4,3.1,5.1,3.7,1.4,0.7,1.5,1.8,2.9,0.81,0.46
Anfernee Simons,SG,POR,POR@NY,31.5,33.2,30.5,1,20,35,7.1,16.7,5.1,2.7,2.4,0.3,0.1,0.7,2.2,2.5,0.91,0.42
Deni Avdija,SF,POR,POR@NY,31.4,35.2,32,1,17.1,33,5.7,12.4,4.4,7.1,6,1.1,0.5,0.9,3,3.8,0.77,0.46
Dyson Daniels,SG,ATL,ATL@MIL,30.5,34.9,35.1,1,13.4,36,5.6,12.2,4.5,6.5,4.8,1.7,0.5,2.9,1.8,1.1,0.59,0.46
Dennis Schroder,PG,DET,DET@MIN,30.1,31.6,29.8,1,15.6,40,5.6,13.2,6.3,3.2,2.9,0.4,0.3,1.2,2.8,2.7,0.85,0.42
Jalen Green,SG,HOU,HOU@PHO,30.1,32.8,30.4,1,20.4,33,7.1,17.6,3.3,4,3.5,0.4,0.3,0.7,2,3.5,0.8,0.4
Bruce Brown,SG,NO,CHA@NO,29.6,34,33.4,1,16.3,31,6.1,14,3.4,5.9,4.6,1.2,0.6,2.2,2.1,2.5,0.8,0.44
Fred VanVleet,PG,HOU,HOU@PHO,29.5,31.6,30.2,1,14.7,36,4.9,12.9,5.5,3.5,3.1,0.4,0.4,1.3,1.4,2.3,0.86,0.38
Devin Vassell,SF,SA,GS@SA,29.2,32.6,31,1,18,31,6.7,14.3,3.4,4.2,3.8,0.4,0.7,1.1,1.5,1.7,0.81,0.47
Stephon Castle,SG,SA,GS@SA,29.1,31.2,29.4,1,17.2,29,6.2,14.1,4.8,3.8,2.8,1,0.3,1,2.8,3.4,0.71,0.44
